id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
3179.0,Xenopus laevis  XENO,"$0,001703",5.9%,4.6%,150.8%,479.3%,"$45.407,28",$1.531.751,$1.702.482,0.9
3181.0,DOOM  DOOM,$0.094875,0.1%,2.7%,6.0%,21.5%,"$2,14",$1.531.380,$1.531.380,1.0
3182.0,Yoshi.exchange  YOSHI,"$0,01001",0.3%,2.1%,1.3%,8.7%,"$62,78",$1.531.099,$1.531.099,1.0
3183.0,SMARDEX WRAPPED USDN  WUSDN,"$1,09",0.3%,1.1%,2.1%,3.2%,"$39.273,35",$1.529.331,$1.529.331,1.0
3184.0,Pumpkin  PKIN,"$0,001758",0.4%,0.3%,14.9%,8.0%,$3.252.847,$1.528.704,$1.633.598,0.94
3185.0,The Big Five  BFT,"$0,00001543",0.0%,4.2%,0.0%,28.9%,"$72.408,02",$1.526.958,$1.542.517,0.99
3186.0,Mantis  M,"$0,01525",0.3%,2.1%,3.6%,19.2%,"$1.908,91",$1.524.944,$1.524.944,1.0
3187.0,Casper AI  AIAGENT,"$0,001486",2.2%,2.8%,24.6%,14.2%,"$75.180,71",$1.524.905,$1.868.642,0.82
3188.0,Fractal  FRA,"$0,0001320",2.9%,12.0%,22.4%,25.0%,"$27.317,16",$1.523.633,$2.760.415,0.55
3191.0,NX Token  NX,"$0,03980",0.5%,1.1%,14.6%,8.6%,"$1.084,61",$1.523.092,$3.974.248,0.38
3189.0,Blocknet  BLOCK,"$0,1305",29.5%,6.6%,649.9%,1167.6%,"$8,13",$1.522.666,-,
3190.0,Let's Bonk AI  BONKAI,"$0,001523",0.1%,34.8%,41.7%,-,$206.080,$1.522.662,$1.522.662,1.0
3194.0,0xMonk by Virtuals  MONK,"$0,001521",0.4%,9.6%,10.2%,389.5%,"$6.463,51",$1.521.160,$1.521.160,1.0
3193.0,ECOVITA  ECOVITA,"$0,001918",0.0%,0.7%,20.4%,11.4%,"$17,16",$1.515.098,$13.424.923,0.11
3192.0,QuStream  QST,"$0,001467",4.0%,1.3%,1.2%,18.2%,"$30.885,09",$1.513.766,$1.513.766,1.0
3195.0,nomAI  NOMAI,"$0,001512",0.2%,14.9%,27.5%,45.1%,"$16.565,24",$1.511.116,$1.511.116,1.0
